feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X13fae76db728266d715f43da8b06cb88	antidepressant_on_off	on	0.00565264128090649	0.0189286498650671	104	15	0.765830769129109	0.963256048152776
e174d720ff388a11cfdb310730da02d6	antidepressant_on_off	on	0.00138025391651272	0.0193679819300019	104	11	0.943326612673753	0.963256048152776
X24e658af979937b9200c49292aa8d919	antidepressant_on_off	on	-0.00151830832226273	0.0186150579341445	104	22	0.935153702115247	0.963256048152776
b3879d9217bbd709b5f87450728b376c	antidepressant_on_off	on	-0.00994711866552759	0.0185535345129187	104	28	0.593035528435495	0.963256048152776
X8701bea1e2e80de700c6f7848103f86d	antidepressant_on_off	on	-0.00437866721191438	0.0160553836359131	104	56	0.785617764383679	0.963256048152776
X900bca7fdfd6334ecb71c7d66951a14f	antidepressant_on_off	on	0.00601188001380394	0.0166937373585931	104	43	0.719496139939852	0.963256048152776
X07b64b23fa88ace003944a6bd9ee7bb7	antidepressant_on_off	on	-0.00101206518370584	0.0141905079664837	104	67	0.943282833937487	0.963256048152776
X1a5a9a605e5854850568c0c6fbf6dc02	antidepressant_on_off	on	0.00421673145987952	0.0188696093888681	104	18	0.823619154876378	0.963256048152776
X9a5ad3e5c9abb12041ebce1cf20b2b3c	antidepressant_on_off	on	-0.0087395383979877	0.0150469224224849	104	65	0.562643581345939	0.963256048152776
X2bb41e138153ad02a6fa5519b33bce6b	antidepressant_on_off	on	-0.00199340299332081	0.0193938114990149	104	16	0.918335006325026	0.963256048152776
d4debe4c70fe5b905a42e3561015b680	antidepressant_on_off	on	0.0101422503038516	0.0151997951358066	104	56	0.50611137946985	0.963256048152776
ce7260fe3f31c7fa47ae17dc33d2b8f7	antidepressant_on_off	on	0.00220498362202187	0.0187439805096064	104	59	0.906586707780288	0.963256048152776
d00c0229d6c816a536d76703e1657694	antidepressant_on_off	on	0.011791845375649	0.0179199889437042	104	36	0.512002876677053	0.963256048152776
X0a07b7b208f82e574548033057612667	antidepressant_on_off	on	0.00630272662485727	0.0188870411858615	104	17	0.739286178280699	0.963256048152776
X2f2ff15fe3d7d5b9f3eaf57c0085d696	antidepressant_on_off	on	-0.00177089344415733	0.016012455681748	104	59	0.91215503272096	0.963256048152776
f769025ae5e54c2b1c149e59018be56b	antidepressant_on_off	on	0.00609626208143672	0.0175159961815512	104	30	0.728527616188457	0.963256048152776
X6095f2881754dad1717ec230da3fdd17	antidepressant_on_off	on	0.0106378858390856	0.0175057809820314	104	32	0.544751337612146	0.963256048152776
X20ec2008e0cde12ae9db741e1fdbf894	antidepressant_on_off	on	0.00778328245782386	0.0164042263579028	104	46	0.636180344521908	0.963256048152776
X504687adb582701412c2398587d62e90	antidepressant_on_off	on	0.010989283847683	0.0155222640904872	104	64	0.480579087374401	0.963256048152776
b606c96aedd0a6e01aa38924a1e6ac97	antidepressant_on_off	on	0.00738199124646273	0.0192512902538303	104	23	0.702180963636028	0.963256048152776
X097138be3a15c87233cb01e6ee6a4da4	antidepressant_on_off	on	-0.00327393389666355	0.0171244052932537	104	44	0.848760495759466	0.963256048152776
X99d3a570385395e7b7bbc7730e1e2241	antidepressant_on_off	on	0.00813932038790422	0.0171021575411079	104	42	0.635146580726843	0.963256048152776
cee9524606a8ab5eadbae08cbd21e830	antidepressant_on_off	on	0.0127109093621599	0.0196347536539459	104	12	0.518848209257556	0.963256048152776
