"","taxon","lfc_(Intercept)","lfc_antidepressant_on_offon","se_(Intercept)","se_antidepressant_on_offon","W_(Intercept)","W_antidepressant_on_offon","p_(Intercept)","p_antidepressant_on_offon","q_(Intercept)","q_antidepressant_on_offon","diff_(Intercept)","diff_antidepressant_on_offon","passed_ss_(Intercept)","passed_ss_antidepressant_on_offon","diff_robust_(Intercept)","diff_robust_antidepressant_on_offon"
"70","932d0c1f666b3a433687e95af993451a",0.0421092952523085,0.0469227436375286,0.134766847814057,0.211030667480373,0.312460341213948,0.222350354087245,0.755851281325978,0.824850111833315,0.842399137966357,0.898717286027344,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"71","7ef15f834ddeffade9a799c5697cc61a",-0.122884535286618,0.326239258439745,0.140477232425084,0.219336899534995,-0.874764779781326,1.48738884853113,0.38656184389932,0.144209026707761,0.537505040088578,0.263181473741664,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"72","16d12481fde3cfa6a4db366d25411122",-0.262190567767257,0.559423121124316,0.132855453979503,0.217693807705716,-1.97350247892501,2.56977048185292,0.0536621140490165,0.0130249125368559,0.120533363863945,0.0487599289841271,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"73","68125101a0cb11e3324fde7378226ba1",-0.181751441788293,0.531730015240734,0.194681947184723,0.254056521903549,-0.933581384491902,2.09295951647564,0.355732877346504,0.0422887263361593,0.515226490607394,0.116493472548665,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"74","792add25fd6668fad2a952ef3b123c8b",0.37716289514306,-0.446929630839704,0.201970398745103,0.283592140034157,1.86741669812248,-1.57595916017233,0.068669468545255,0.122364808785928,0.139246422327878,0.243243248528399,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"75","98eb701f5f4286f77b9e839055caf304",0.27900315041995,-0.34923252609412,0.135015635703501,0.199992484939999,2.06645066674093,-1.7462282455208,0.0472265270328604,0.0906754041354862,0.109445602330121,0.19759117916091,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"76","25c1653a751b87e522eb1d73426f2d0b",0.578311291320746,-0.810104753082734,0.200595772356656,0.282793097934726,2.88296849194068,-2.86465532220918,0.00592394355223,0.00622257983278792,0.0221768143237328,0.0286928969607442,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"77","fc89b71ba14dc877e9e8527e6ed60391",-0.0662241203311956,0.251343983736493,0.16491168685284,0.237474814507583,-0.401573239562404,1.05840269528231,0.689473977403111,0.29426007702262,0.81180000565205,0.447520533805235,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"78","7f6dec8c96033aba04deee885932a9a7",0.781589778058209,-1.21333704230477,0.148381844918083,0.225179320998472,5.26742189039165,-5.38831468593426,2.40876137205947e-05,1.78953609838026e-05,0.000251199400229059,0.000433046477972767,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"79","80ab11a5d085a5bcce2d24702f32bef1",0.43653300183046,-0.540007273934141,0.166476041930971,0.248309496570401,2.62219714480878,-2.17473468148665,0.0111852711578798,0.0338143354087265,0.0359307900929022,0.0968018229347857,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
